# tcksift /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_500k.tck /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/wm_fod.mif /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_sift_100k.tck -term_number 100000 -csv /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_iterations.csv -out_mu /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_mu.txt -nthreads 12 -force  (version=3.0.3)
#Iteration,Removed this iteration,Total removed,Remaining,Cost,TD,Mu,Recalculation,
107,316,168314,331686,13156.475033626461,18412908.304868035,0.015200779150885102,Non-linearity,
108,710,169024,330976,13120.910710308224,18361027.362792306,0.015243730491627134,Non-linearity,
109,713,169737,330263,13086.136512300001,18310078.386371903,0.015286147156864074,Non-linearity,
110,231,169968,330032,13076.18957883937,18295807.817465119,0.015298070216971485,Non-linearity,
111,346,170314,329686,13058.521991145653,18270094.268160157,0.015319600904061611,Non-linearity,
112,350,170664,329336,13041.979144718727,18245687.319812112,0.015340093675938289,Non-linearity,
113,624,171288,328712,13009.029990290201,18195824.480343156,0.015382130827331366,Non-linearity,
114,239,171527,328473,12998.612839617244,18180523.972529702,0.015395076241515621,Non-linearity,
115,1234,172761,327239,12936.149415178365,18083601.853069596,0.015477588753718732,Non-linearity,
116,478,173239,326761,12913.240321653304,18049149.303658776,0.015507132660876159,Non-linearity,
117,376,173615,326385,12896.852731033476,18024883.284924798,0.01552800915509312,Non-linearity,
118,591,174206,325794,12869.850652244324,17983728.639793687,0.01556354403882999,Non-linearity,
119,338,174544,325456,12854.797947898116,17961072.941483788,0.015583175547455634,Non-linearity,
120,105,174649,325351,12850.05916622063,17954068.760875039,0.015589254803219099,Non-linearity,
121,604,175253,324747,12821.7883399926,17910257.706220917,0.015627388352462426,Non-linearity,
122,287,175540,324460,12808.261602962577,17889590.979934983,0.015645441697449834,Non-linearity,
123,235,175775,324225,12797.644784184604,17873535.055962853,0.015659496109272572,Non-linearity,
124,1111,176886,323114,12741.613266403114,17783947.875827126,0.015738381298802562,Non-linearity,
125,590,177476,322524,12716.648892841975,17745251.058542542,0.015772701763667539,Non-linearity,
126,632,178108,321892,12688.980049807775,17702003.932974152,0.015811235480884461,Non-linearity,
127,438,178546,321454,12670.960358199818,17674093.219052605,0.015836204392431077,Non-linearity,
128,675,179221,320779,12639.949212307558,17624559.896821313,0.015880711592592845,Non-linearity,
129,461,179682,320318,12620.108811046282,17593394.663019471,0.015908842950935139,Non-linearity,
130,573,180255,319745,12596.000504568348,17554750.524935059,0.015943863871505096,Non-linearity,
131,763,181018,318982,12560.110729505663,17496051.42851191,0.015997355392524854,Non-linearity,
132,434,181452,318548,12542.108700340988,17467365.678072266,0.016023627021168912,Non-linearity,
133,290,181742,318258,12530.708422544269,17449202.231884293,0.016040306539422379,Non-linearity,
134,530,182272,317728,12507.01058291871,17410732.249656968,0.016075748489746126,Non-linearity,
135,196,182468,317532,12499.161410630375,17398351.395794205,0.016087188165164697,Non-linearity,
136,158,182626,317374,12493.063305793035,17388685.252604775,0.016096130823109261,Non-linearity,
137,528,183154,316846,12469.570667374703,17349932.720180802,0.016132082883655152,Non-linearity,
138,203,183357,316643,12460.594053350023,17335460.330748849,0.016145550641729432,Non-linearity,
139,218,183575,316425,12451.748915499895,17321170.299814515,0.016158870782004519,Non-linearity,
140,442,184017,315983,12431.568412697459,17287960.037922196,0.016189912057515181,Non-linearity,
141,398,184415,315585,12415.712295941148,17261825.438553147,0.016214423767875682,Non-linearity,
142,271,184686,315314,12404.931850654277,17244115.987934403,0.016231075739900777,Non-linearity,
143,709,185395,314605,12372.599549623974,17188849.511662774,0.016283262732499297,Non-linearity,
144,431,185826,314174,12355.15015119455,17160077.424975686,0.016310564674983905,Non-linearity,
145,182,186008,313992,12348.369496678059,17149092.779638581,0.01632101221121832,Non-linearity,
146,614,186622,313378,12323.078526052908,17106129.498355202,0.016362003613658447,Non-linearity,
147,386,187008,312992,12306.559431651292,17078602.983449273,0.016388375146318274,Non-linearity,
148,611,187619,312381,12283.333374882601,17039073.163822465,0.01642639537824532,Non-linearity,
149,313,187932,312068,12270.044876932725,17016705.696686082,0.016447986916898052,Non-linearity,
150,186,188118,311882,12263.012752519599,17004947.777675919,0.016459359730303744,Non-linearity,
151,331,188449,311551,12249.897408064895,16982628.244442277,0.016480991554378162,Non-linearity,
152,450,188899,311101,12231.821888675673,16951521.340336137,0.016511235012387812,Non-linearity,
153,420,189319,310681,12214.012563849108,16920852.696779542,0.01654116123362195,Non-linearity,
154,327,189646,310354,12199.417185026017,16895762.172746949,0.016565725168602559,Non-linearity,
